longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.96,37.24,26,3032,605,1208,562,5.4683,430900,<1H OCEAN
-122.44,37.72,52,1380,272,847,284,3.7143,260000,NEAR BAY
-121.55,38.51,14,5490,851,2415,837,6.5253,216800,INLAND
-114.65,32.79,21,44,33,64,27,0.8571,25000,INLAND
-118.07,33.87,18,3405,556,1945,509,5.7652,299100,<1H OCEAN
-118.47,34.01,41,2704,557,1047,478,4.4211,462900,<1H OCEAN
-118.37,33.77,26,6339,876,2540,880,10.1447,500001,NEAR OCEAN
-117.45,34.13,16,5058,965,3388,878,3.6417,119000,INLAND
-121.36,37.99,8,1801,380,684,350,4.2589,134900,INLAND
-120.98,37.68,18,4197,1006,2203,874,2.166,118600,INLAND
-118.29,33.92,23,2503,532,1735,505,2.7368,162800,<1H OCEAN
-118.32,34.26,32,3690,791,1804,715,4.4875,222700,<1H OCEAN
-119.22,34.15,32,3152,596,3490,526,2.725,450000,NEAR OCEAN
-122.28,37.88,52,1193,200,506,207,4.1912,254500,NEAR BAY
-121.89,37.23,20,7754,976,3094,941,8.19,361600,<1H OCEAN
-121.76,38.68,38,674,178,701,189,1.3942,69400,INLAND
-121.71,39.41,22,1814,342,941,323,2.1728,59400,INLAND
-121.83,37.99,18,2741,449,1507,460,4.7566,142500,INLAND
-122.11,37.38,22,3638,719,1329,650,5.0804,500001,NEAR BAY
-118.19,33.99,37,2073,614,2544,598,2.9054,156300,<1H OCEAN
-116.89,32.99,14,2816,501,1448,452,5.0278,210900,<1H OCEAN
-118,34.14,31,1298,431,1131,425,1.0548,178100,INLAND
-121.5,38.53,39,3184,593,1188,572,4.6923,192000,INLAND
-121.84,36.25,20,958,245,590,189,2.6094,362500,NEAR OCEAN
-117.87,33.78,30,2022,522,1196,463,3.7454,186000,<1H OCEAN
-118.4,34.03,13,6152,1978,3397,1845,3.4058,275000,<1H OCEAN
-121.95,37.28,52,777,148,362,144,4.0208,262500,<1H OCEAN
-119.08,34.35,24,3663,828,2718,778,3.2757,186000,<1H OCEAN
-117,32.7,23,2785,468,1456,449,4.3714,131000,NEAR OCEAN
-117.39,33.98,37,2337,452,948,437,3.145,169100,INLAND
-117.25,32.78,36,1527,427,710,312,2.7857,291700,NEAR OCEAN
-117.84,33.77,26,3350,581,1314,550,3.5195,249100,<1H OCEAN
-118.22,33.94,42,1115,297,1412,325,3.0903,153500,<1H OCEAN
-119.62,36.35,10,3674,734,1864,718,2.6145,80300,INLAND
-121.2,38.02,44,608,108,287,83,3.3882,125000,INLAND
-122.46,38.53,32,1735,331,785,309,3.6641,275800,INLAND
